index,sec_elapsed,n,mean,std
0,0.22080159187316895,90,9.0,0.0
1,0.2276899814605713,100,10.0,0.0
2,0.2746756076812744,170,8.0,0.0
3,0.28150081634521484,180,8.0,0.0
4,0.2883787155151367,190,9.333333333333334,0.4714045207910317
5,0.2955036163330078,200,11.0,0.0
6,0.38329410552978516,230,13.0,0.0
7,0.40750908851623535,260,9.0,0.0
8,0.42060017585754395,280,9.0,0.0
9,0.4273796081542969,290,10.2,0.39999999999999997
10,0.4339604377746582,300,10.0,0.0
11,0.4537968635559082,330,10.0,0.0
12,0.4668145179748535,350,9.0,0.0
13,0.47341275215148926,360,8.0,0.0
14,0.4800264835357666,370,9.0,0.0
15,0.48676538467407227,380,9.0,0.0
16,0.49333643913269043,390,9.5,0.5
17,0.4998631477355957,400,11.0,0.0
18,0.506483793258667,410,12.0,0.0
19,0.5873196125030518,430,10.0,0.0
20,0.6004889011383057,450,9.0,0.0
21,0.6072103977203369,460,10.0,1.0
22,0.6139185428619385,470,8.5,0.5
23,0.6205828189849854,480,8.0,0.0
24,0.6272993087768555,490,10.0,0.0
25,0.6401982307434082,510,10.0,0.0
26,0.6468417644500732,520,10.0,1.0
27,0.6662619113922119,550,9.5,0.5
28,0.6728639602661133,560,9.0,0.0
29,0.6796622276306152,570,9.5,0.5
30,0.6866154670715332,580,12.0,0.0
31,0.6932909488677979,590,10.0,0.0
32,0.6999123096466064,600,8.0,0.0
33,0.7066361904144287,610,10.0,0.0
34,0.8007752895355225,630,11.0,0.0
35,0.8074800968170166,640,8.666666666666666,0.4714045207910317
36,0.826819658279419,670,10.0,0.0
37,0.8400106430053711,690,9.5,0.5
38,0.8468852043151855,700,10.5,1.5
39,0.8975939750671387,780,11.0,0.0
40,0.904099702835083,790,16.0,0.0
41,0.9978370666503906,820,18.0,0.0
42,1.0049753189086914,830,14.0,0.0
43,1.0305824279785156,870,23.0,0.0
44,1.037203073501587,880,14.0,5.0
45,1.0439045429229736,890,19.0,0.0
46,1.0504958629608154,900,26.0,0.0
47,1.05710768699646,910,13.0,0.0
48,1.0637388229370117,920,10.0,0.0
49,1.0765814781188965,940,11.0,0.0
50,1.0893945693969727,960,29.0,0.0
51,1.0959718227386475,970,9.333333333333334,0.4714045207910317
52,1.1092467308044434,990,10.0,0.0
53,1.1219687461853027,1010,9.5,0.5
54,1.17271089553833,1020,10.0,2.0
55,1.2116074562072754,1080,9.0,0.0
56,1.2246055603027344,1100,11.0,0.0
57,1.2374427318572998,1120,10.0,0.0
58,1.2502987384796143,1140,13.0,0.0
59,1.2630822658538818,1160,14.0,6.0
60,1.2695820331573486,1170,20.0,0.0
61,1.2760114669799805,1180,21.0,0.0
62,1.2888240814208984,1200,10.0,0.0
63,1.2955050468444824,1210,24.0,0.0
64,1.3935770988464355,1230,10.0,1.0
65,1.400747537612915,1240,8.0,0.0
66,1.4072027206420898,1250,9.0,0.0
67,1.4136850833892822,1260,17.0,8.0
68,1.420104742050171,1270,9.0,0.0
69,1.432711124420166,1290,18.0,9.0
70,1.4454166889190674,1310,8.0,0.0
71,1.4518275260925293,1320,10.0,1.0
72,1.4644055366516113,1340,10.0,0.0
73,1.470834493637085,1350,9.5,0.5
74,1.4773049354553223,1360,9.5,0.5
75,1.4962122440338135,1390,10.0,0.0
76,1.5026922225952148,1400,11.0,0.0
77,1.5091009140014648,1410,10.0,0.0
78,1.5562903881072998,1420,10.0,0.0
79,1.5713531970977783,1440,10.333333333333334,1.247219128924647
80,1.578369379043579,1450,9.5,0.5
81,1.584869384765625,1460,10.0,0.0
82,1.597672700881958,1480,9.0,0.0
83,1.6044375896453857,1490,9.0,0.0
84,1.6110632419586182,1500,8.0,0.0
85,1.623835563659668,1520,9.5,1.5
86,1.6303086280822754,1530,9.0,0.0
87,1.6368048191070557,1540,10.0,0.0
88,1.6433982849121094,1550,9.0,0.0
89,1.6499097347259521,1560,9.5,1.5
90,1.6563754081726074,1570,12.0,0.0
91,1.7444047927856445,1620,9.5,0.5
92,1.7512845993041992,1630,12.0,1.0
93,1.7643790245056152,1650,12.333333333333334,2.6246692913372702
94,1.7771177291870117,1670,11.0,0.0
95,1.8090946674346924,1720,9.666666666666666,0.4714045207910317
96,1.828310489654541,1750,12.75,3.6996621467371855
97,1.934509515762329,1820,10.0,0.0
98,1.9454996585845947,1830,26.0,0.0
99,1.9553122520446777,1840,12.333333333333334,4.714045207910316
100,1.9618821144104004,1850,10.0,0.0
101,1.9810163974761963,1880,21.0,0.0
102,2.000659227371216,1910,9.0,0.0
103,2.0071609020233154,1920,10.0,0.0
104,2.0138306617736816,1930,10.0,0.0
105,2.0205883979797363,1940,10.0,0.0
106,2.02716326713562,1950,10.0,0.0
107,2.033757448196411,1960,12.0,0.0
108,2.040276527404785,1970,9.0,0.0
109,2.06550669670105,2010,10.0,0.0
110,2.1235544681549072,2020,9.5,1.5
111,2.133634567260742,2030,10.0,1.0
112,2.1409249305725098,2040,10.0,1.0
113,2.1477222442626953,2050,10.0,0.0
114,2.161280393600464,2070,11.0,0.0
115,2.1747050285339355,2090,12.0,0.0
116,2.1815185546875,2100,9.0,0.0
117,2.188279867172241,2110,9.0,0.0
118,2.201854705810547,2130,10.0,0.816496580927726
119,2.2088935375213623,2140,10.0,1.0
120,2.2157251834869385,2150,9.5,1.5
121,2.24212384223938,2190,10.0,0.0
122,2.256030321121216,2210,10.5,0.5
123,2.2988102436065674,2220,9.0,0.0
124,2.3247358798980713,2260,13.0,0.0
125,2.3314106464385986,2270,12.0,0.0
126,2.344658851623535,2290,12.0,2.0
127,2.357837677001953,2310,12.666666666666666,3.7712361663282534
128,2.3643832206726074,2320,18.0,0.0
129,2.371159076690674,2330,11.0,0.0
130,2.3779778480529785,2340,14.0,6.0
131,2.3973615169525146,2370,10.0,0.0
132,2.4035847187042236,2380,9.0,0.0
133,2.4101665019989014,2390,10.0,0.0
134,2.416684865951538,2400,9.0,0.0
135,2.5291290283203125,2420,8.5,0.5
136,2.5388920307159424,2430,11.0,0.0
137,2.5524017810821533,2450,11.0,0.0
138,2.5591917037963867,2460,12.0,3.0
139,2.572538375854492,2480,9.5,0.5
140,2.5854854583740234,2500,10.0,0.0
141,2.59201979637146,2510,20.0,0.0
142,2.5989081859588623,2520,10.0,0.0
143,2.6056084632873535,2530,10.0,0.0
144,2.6184744834899902,2550,9.333333333333334,0.4714045207910317
145,2.6315600872039795,2570,9.0,0.0
146,2.6381676197052,2580,8.0,0.0
147,2.64475417137146,2590,11.0,0.0
148,2.6512491703033447,2600,8.0,0.0
149,2.6581084728240967,2610,10.0,0.0
150,2.741405963897705,2630,11.0,0.0
151,2.747999906539917,2640,9.0,0.0
152,2.7545769214630127,2650,11.0,1.0
153,2.761105537414551,2660,11.0,0.0
154,2.7677114009857178,2670,10.0,0.0
155,2.7808034420013428,2690,9.666666666666666,1.247219128924647
156,2.7997610569000244,2720,10.5,1.5
157,2.8124988079071045,2740,10.0,0.0
158,2.8190431594848633,2750,9.666666666666666,0.4714045207910317
159,2.8317887783050537,2770,8.0,0.0
160,2.8383870124816895,2780,9.666666666666666,0.9428090415820634
161,2.8574109077453613,2810,9.0,0.0
162,2.9103152751922607,2820,10.0,0.0
163,2.917880058288574,2830,9.0,0.0
164,2.9327585697174072,2850,10.0,0.0
165,2.9398274421691895,2860,8.0,0.0
166,2.946420431137085,2870,12.0,0.0
167,2.952908515930176,2880,10.0,0.0
168,2.959531545639038,2890,12.0,0.0
169,2.9723005294799805,2910,10.0,0.0
170,2.98504376411438,2930,10.5,0.5
171,2.991608142852783,2940,8.0,0.0
172,2.998187303543091,2950,10.0,0.0
173,3.004808187484741,2960,9.5,0.5
174,3.0178754329681396,2980,10.0,0.0
175,3.0244479179382324,2990,9.0,1.0
176,3.037184715270996,3010,8.0,0.0
177,3.117187738418579,3020,9.0,0.0
178,3.1302831172943115,3040,9.5,0.5
179,3.14396071434021,3060,10.333333333333334,0.4714045207910317
180,3.1577279567718506,3080,9.5,0.5
