index,sec_elapsed,n,mean,std
0,0.21546292304992676,80,8.0,0.0
1,0.22224140167236328,90,9.0,0.0
2,0.22881603240966797,100,10.0,0.0
3,0.23536467552185059,110,11.0,0.0
4,0.2727015018463135,170,9.0,0.0
5,0.27918195724487305,180,8.666666666666666,0.4714045207910317
6,0.2857248783111572,190,9.5,0.5
7,0.2923159599304199,200,9.666666666666666,0.4714045207910317
8,0.365161657333374,240,14.0,0.0
9,0.3779881000518799,260,8.5,0.5
10,0.38452649116516113,270,9.0,0.0
11,0.39110875129699707,280,10.0,0.0
12,0.397625207901001,290,10.0,0.0
13,0.4042680263519287,300,10.0,0.0
14,0.4107506275177002,310,11.5,0.5
15,0.4234130382537842,330,9.0,0.0
16,0.4361228942871094,350,9.0,0.0
17,0.4426600933074951,360,9.0,1.0
18,0.44916248321533203,370,10.0,0.0
19,0.4622046947479248,390,9.5,0.5
20,0.4749314785003662,410,9.666666666666666,1.247219128924647
21,0.5614392757415771,420,11.0,0.0
22,0.5750739574432373,440,8.5,0.5
23,0.5880825519561768,460,9.5,0.5
24,0.5946319103240967,470,8.0,0.0
25,0.6072583198547363,490,10.0,0.0
26,0.6201250553131104,510,9.666666666666666,0.4714045207910317
27,0.6266968250274658,520,9.5,1.5
28,0.6393957138061523,540,10.0,0.0
29,0.6459660530090332,550,8.0,0.0
30,0.671065092086792,590,13.0,0.0
31,0.6838960647583008,610,9.5,0.5
32,0.7415592670440674,620,12.0,1.0
33,0.7508416175842285,630,9.0,0.0
34,0.761298418045044,640,12.0,0.0
35,0.7740917205810547,660,15.0,0.0
36,0.7807860374450684,670,12.0,0.0
37,0.7997350692749023,700,11.0,0.0
38,0.8375129699707031,760,17.0,0.0
39,0.8568155765533447,790,18.0,0.0
40,0.8634979724884033,800,18.0,0.0
41,0.8706440925598145,810,19.0,1.0
42,0.928842306137085,830,17.5,1.5
43,0.9419775009155273,850,15.0,0.0
44,0.9484789371490479,860,20.0,0.0
45,0.967747688293457,890,13.0,0.0
46,0.9806864261627197,910,12.0,0.0
