index,sec_elapsed,n,mean,std
0,0.21903538703918457,90,9.0,0.0
1,0.22606730461120605,100,10.0,0.0
2,0.23268580436706543,110,11.0,0.0
3,0.27730226516723633,180,8.666666666666666,0.4714045207910317
4,0.28426694869995117,190,9.75,0.4330127018922193
5,0.29101085662841797,200,10.0,0.816496580927726
6,0.39505720138549805,280,9.333333333333334,0.4714045207910317
7,0.40161728858947754,290,10.0,1.0
8,0.408458948135376,300,10.0,0.0
9,0.45236849784851074,370,9.0,0.0
10,0.4589540958404541,380,10.0,0.0
11,0.46555209159851074,390,10.0,0.0
12,0.4722316265106201,400,11.0,1.0
13,0.47915053367614746,410,11.0,0.0
14,0.5799024105072021,470,9.4,0.7999999999999999
15,0.5926964282989502,490,10.0,1.0
16,0.5992448329925537,500,11.0,0.0
17,0.6058859825134277,510,10.5,0.5
18,0.6374521255493164,560,9.0,0.0
19,0.6439390182495117,570,10.0,0.0
20,0.6506125926971436,580,11.0,0.0
21,0.6574459075927734,590,11.0,1.0
22,0.6642897129058838,600,10.0,0.816496580927726
23,0.6712064743041992,610,10.0,0.0
24,0.7760648727416992,650,9.0,0.0
25,0.7825946807861328,660,9.0,0.0
26,0.7891697883605957,670,8.0,0.0
27,0.7956588268280029,680,10.0,0.0
28,0.8021628856658936,690,10.5,1.5
29,0.8089416027069092,700,10.0,0.0
30,0.8154811859130859,710,10.5,0.5
31,0.8477942943572998,760,10.5,0.5
32,0.8544900417327881,770,10.0,0.0
33,0.8611288070678711,780,9.0,0.0
34,0.8678481578826904,790,11.0,0.0
35,0.8745107650756836,800,11.5,1.5
36,0.9804072380065918,840,13.0,0.0
37,0.9870860576629639,850,16.0,0.0
38,1.0129563808441162,890,13.0,0.0
39,1.0195646286010742,900,14.0,0.0
40,1.0326440334320068,920,13.333333333333334,1.247219128924647
41,1.0457541942596436,940,15.0,1.0
42,1.0587284564971924,960,11.666666666666666,0.4714045207910317
43,1.0717575550079346,980,9.0,0.0
44,1.0909910202026367,1010,10.0,1.0
45,1.143705129623413,1020,10.0,0.0
46,1.1515953540802002,1030,10.0,1.0
47,1.1660127639770508,1050,11.0,0.0
48,1.1725807189941406,1060,10.0,0.0
49,1.1791636943817139,1070,9.0,0.0
50,1.2113361358642578,1120,11.0,0.0
51,1.224299430847168,1140,11.0,0.0
52,1.2309849262237549,1150,12.0,2.160246899469287
53,1.237839937210083,1160,12.0,1.0
54,1.2512660026550293,1180,11.666666666666666,0.4714045207910317
55,1.3508672714233398,1220,10.0,0.0
56,1.358128547668457,1230,9.0,0.0
57,1.3651442527770996,1240,9.0,0.0
58,1.3721039295196533,1250,9.5,0.5
59,1.3791232109069824,1260,10.0,0.0
60,1.386082410812378,1270,10.5,1.5
61,1.3928701877593994,1280,10.0,0.0
62,1.4127423763275146,1310,8.5,0.5
63,1.4334871768951416,1340,9.0,0.0
64,1.4408133029937744,1350,11.0,0.0
65,1.4480609893798828,1360,9.5,0.5
66,1.4606499671936035,1370,10.0,0.0
67,1.4749693870544434,1380,10.0,0.0
68,1.4854621887207031,1390,8.0,0.0
69,1.4989814758300781,1410,13.0,0.0
70,1.5610032081604004,1420,11.0,0.0
71,1.5744445323944092,1440,10.0,0.0
72,1.5812160968780518,1450,9.5,0.5
73,1.5882377624511719,1460,9.0,0.0
74,1.5949876308441162,1470,11.0,0.0
75,1.6085424423217773,1490,10.5,0.5
76,1.628349781036377,1520,10.0,0.0
77,1.6350367069244385,1530,9.0,0.0
78,1.647993564605713,1550,11.666666666666666,1.699673171197595
79,1.6544954776763916,1560,10.5,0.5
80,1.6797423362731934,1600,11.0,0.0
81,1.6864781379699707,1610,14.0,0.0
82,1.74714994430542,1620,9.5,0.5
83,1.768723726272583,1640,9.0,0.0
84,1.7753775119781494,1650,9.5,0.5
85,1.7820255756378174,1660,10.5,0.5
86,1.8014776706695557,1690,8.0,0.0
87,1.8081567287445068,1700,9.333333333333334,0.9428090415820634
88,1.8210768699645996,1720,10.0,0.0
89,1.8341431617736816,1740,9.5,0.5
90,1.840902328491211,1750,9.0,0.0
91,1.8477213382720947,1760,10.5,0.5
92,1.8604810237884521,1780,8.0,0.0
93,1.867051601409912,1790,9.0,0.0
94,1.8735716342926025,1800,8.0,0.0
95,1.8799967765808105,1810,12.0,0.0
96,1.9748048782348633,1830,9.0,0.0
97,1.985546588897705,1840,8.0,0.0
98,1.9925029277801514,1850,10.0,0.0
99,1.9991810321807861,1860,11.0,1.0
100,2.005932331085205,1870,9.0,0.0
101,2.025771141052246,1900,9.0,0.0
102,2.0324010848999023,1910,11.5,0.5
103,2.0391995906829834,1920,11.0,2.0
104,2.0518229007720947,1940,10.0,0.0
105,2.058363199234009,1950,9.0,0.0
106,2.0651159286499023,1960,10.0,0.0
107,2.0719997882843018,1970,12.0,0.0
108,2.08596134185791,1990,12.0,0.0
109,2.0925791263580322,2000,9.333333333333334,0.4714045207910317
110,2.099226236343384,2010,9.0,0.0
111,2.1651318073272705,2020,10.0,0.0
112,2.182830572128296,2040,9.0,0.816496580927726
113,2.20165753364563,2070,10.0,0.0
114,2.2142765522003174,2090,9.333333333333334,0.4714045207910317
115,2.220670461654663,2100,10.0,0.0
116,2.2271361351013184,2110,10.0,0.0
117,2.2336363792419434,2120,9.0,1.0
118,2.2528586387634277,2150,11.0,0.0
119,2.259476661682129,2160,9.0,0.0
120,2.272352457046509,2180,9.0,0.0
121,2.2788922786712646,2190,9.5,0.5
122,2.2854807376861572,2200,8.0,0.0
123,2.2918624877929688,2210,10.0,0.0
124,2.396745204925537,2240,10.5,1.5
125,2.4099738597869873,2260,11.0,0.0
126,2.416477918624878,2270,9.0,0.0
127,2.4229843616485596,2280,12.0,0.0
128,2.4297268390655518,2290,10.5,0.5
129,2.442748785018921,2310,11.0,0.816496580927726
130,2.455568313598633,2330,9.0,0.0
131,2.4747493267059326,2360,12.0,0.0
132,2.481261968612671,2370,10.0,0.0
133,2.4878087043762207,2380,10.0,0.0
134,2.494352340698242,2390,10.0,0.0
135,2.5009496212005615,2400,11.0,0.0
136,2.5075571537017822,2410,12.5,2.5
137,2.554490327835083,2420,9.0,0.0
138,2.561278820037842,2430,12.0,0.0
139,2.5678646564483643,2440,13.0,0.0
140,2.6056981086730957,2500,9.0,0.0
141,2.624849319458008,2530,11.333333333333334,1.247219128924647
142,2.6312716007232666,2540,15.0,0.0
143,2.637993574142456,2550,14.0,3.0
144,2.657500982284546,2580,21.0,0.0
145,2.6705124378204346,2600,10.0,0.0
146,2.677079677581787,2610,25.0,0.0
147,2.7763254642486572,2640,9.0,0.0
148,2.7829134464263916,2650,12.0,0.0
149,2.7895379066467285,2660,11.0,0.0
150,2.796147108078003,2670,13.5,0.5
151,2.8027572631835938,2680,12.5,2.5
152,2.8093066215515137,2690,8.0,0.0
153,2.816093683242798,2700,10.0,0.0
154,2.8354413509368896,2730,9.0,0.0
155,2.8548386096954346,2760,10.0,1.0
156,2.861419916152954,2770,13.5,7.826237921249264
157,2.8680484294891357,2780,11.0,1.0
158,2.874587059020996,2790,9.0,0.0
159,2.9614784717559814,2830,10.0,0.0
160,2.9943745136260986,2880,12.0,0.0
161,3.0075926780700684,2900,13.0,0.0
162,3.0210280418395996,2920,15.0,0.0
163,3.0279319286346436,2930,15.0,0.0
164,3.080517053604126,3010,9.0,0.0
165,3.1477503776550293,3020,14.0,0.0
166,3.1611855030059814,3030,10.0,0.0
167,3.168672800064087,3040,12.5,1.5
168,3.1753695011138916,3050,22.0,5.715476066494082
169,3.2010996341705322,3090,30.0,0.0
170,3.207836151123047,3100,9.0,0.0
171,3.2144274711608887,3110,8.5,0.5
172,3.2336790561676025,3140,10.0,0.0
173,3.246596097946167,3160,11.0,0.0
174,3.265723466873169,3190,10.0,0.0
175,3.2722582817077637,3200,10.0,0.0
176,3.278991222381592,3210,10.333333333333334,0.4714045207910317
177,3.349733352661133,3220,17.0,0.0
178,3.3568294048309326,3230,18.0,0.0
179,3.3699398040771484,3250,10.0,1.0
180,3.401909351348877,3300,9.0,0.0
181,3.4148828983306885,3320,11.5,0.5
182,3.4215638637542725,3330,11.0,0.0
183,3.4472415447235107,3370,12.0,0.0
184,3.4540436267852783,3380,8.0,0.0
185,3.4607603549957275,3390,9.0,0.0
186,3.4736320972442627,3410,9.0,0.0
187,3.5699644088745117,3420,24.0,14.0
188,3.5944721698760986,3450,16.0,4.0
189,3.645449161529541,3530,30.0,0.0
190,3.652064561843872,3540,9.0,0.0
191,3.6587283611297607,3550,13.0,0.0
192,3.665290594100952,3560,14.0,0.0
193,3.671971559524536,3570,12.0,0.0
194,3.6785471439361572,3580,20.0,0.0
195,3.7699708938598633,3620,8.0,0.0
196,3.776815414428711,3630,26.0,0.0
197,3.7960262298583984,3660,11.333333333333334,1.247219128924647
198,3.808842182159424,3680,11.0,0.0
199,3.815366268157959,3690,50.0,0.0
200,3.8218910694122314,3700,21.5,9.5
201,3.872562885284424,3780,18.333333333333332,13.224556283251582
202,3.8792667388916016,3790,10.0,0.0
