index,sec_elapsed,n,mean,std
0,0.37778472900390625,80,8.0,0.0
1,0.38452625274658203,90,9.0,0.0
2,0.39103245735168457,100,10.0,0.0
3,0.39751434326171875,110,11.0,0.0
4,0.4349703788757324,170,9.0,0.0
5,0.44146203994750977,180,9.0,0.0
6,0.4481501579284668,190,9.75,0.4330127018922193
7,0.4546234607696533,200,10.0,0.0
8,0.46105265617370605,210,10.0,0.0
9,0.5446093082427979,260,8.0,0.0
10,0.5513710975646973,270,10.0,0.0
11,0.5579280853271484,280,9.0,0.0
12,0.5644257068634033,290,9.0,1.0
13,0.5709455013275146,300,9.5,0.5
14,0.5774648189544678,310,11.0,0.0
15,0.6025967597961426,350,8.5,0.5
16,0.6153879165649414,370,9.0,0.0
17,0.6218934059143066,380,10.0,0.0
18,0.6285130977630615,390,10.0,0.7071067811865476
19,0.6349761486053467,400,10.0,0.0
20,0.6414906978607178,410,10.0,0.0
21,0.7017002105712891,430,8.0,0.0
22,0.7145469188690186,450,10.0,0.0
23,0.7335727214813232,480,9.333333333333334,0.4714045207910317
24,0.7402210235595703,490,10.666666666666666,0.9428090415820634
25,0.7467503547668457,500,10.0,0.0
26,0.7596499919891357,520,9.0,0.0
27,0.7723586559295654,540,9.0,0.0
28,0.7915165424346924,570,9.0,0.0
29,0.79842209815979,580,11.25,3.344772040064913
30,0.8050110340118408,590,10.0,0.0
31,0.8115684986114502,600,10.0,0.0
32,0.8676049709320068,620,10.0,0.0
33,0.8804700374603271,640,10.0,0.0
34,0.8931856155395508,660,8.0,0.0
35,0.8996877670288086,670,9.333333333333334,0.4714045207910317
36,0.9062204360961914,680,9.0,1.0
37,0.9127607345581055,690,11.0,1.0
38,0.9319596290588379,720,10.0,0.0
39,0.9509110450744629,750,9.5,1.5
40,0.957496166229248,760,8.5,0.5
41,0.9763705730438232,790,10.333333333333334,0.4714045207910317
42,0.9828476905822754,800,13.0,0.0
43,1.0521330833435059,820,16.0,0.0
44,1.0593140125274658,830,11.0,0.0
45,1.066127061843872,840,9.0,0.0
46,1.0726559162139893,850,10.0,0.0
47,1.0851678848266602,870,11.0,0.0
48,1.09791898727417,890,11.5,1.5
49,1.104529857635498,900,10.666666666666666,0.4714045207910317
50,1.1174211502075195,920,10.0,0.0
51,1.1239573955535889,930,9.5,0.5
52,1.1367902755737305,950,10.0,0.0
53,1.1494708061218262,970,10.0,0.0
54,1.1687591075897217,1000,10.333333333333334,0.4714045207910317
55,1.1754062175750732,1010,10.5,1.5
56,1.2592275142669678,1020,12.0,0.0
57,1.266422986984253,1030,10.0,0.0
58,1.2813022136688232,1050,10.0,0.0
59,1.2881791591644287,1060,9.0,0.0
60,1.3136427402496338,1100,9.5,0.5
61,1.3203964233398438,1110,10.0,1.0
62,1.3271479606628418,1120,10.5,1.5
63,1.3398144245147705,1140,13.0,0.0
64,1.3464703559875488,1150,12.0,0.0
65,1.3591477870941162,1170,11.5,0.5
66,1.3782048225402832,1200,9.5,0.5
67,1.4549481868743896,1220,10.0,0.0
68,1.4621875286102295,1230,9.5,1.5
69,1.4752843379974365,1250,8.0,0.0
70,1.4818642139434814,1260,10.5,1.5
71,1.501011848449707,1290,9.0,0.0
72,1.507542610168457,1300,10.0,0.0
73,1.5204377174377441,1320,9.0,0.0
74,1.526946783065796,1330,10.5,0.5
75,1.5335297584533691,1340,14.0,0.0
76,1.540041208267212,1350,9.5,0.5
77,1.5529017448425293,1370,11.0,0.0
78,1.5595974922180176,1380,9.0,0.0
79,1.5661733150482178,1390,9.0,0.0
80,1.5790042877197266,1410,8.0,0.0
81,1.6634819507598877,1420,10.333333333333334,1.247219128924647
82,1.6768748760223389,1430,8.0,0.0
83,1.6878817081451416,1440,9.0,0.0
84,1.7014305591583252,1460,9.666666666666666,1.699673171197595
85,1.7082862854003906,1470,8.0,0.0
86,1.7342185974121094,1510,9.5,0.5
87,1.7407584190368652,1520,9.666666666666666,0.4714045207910317
88,1.7472703456878662,1530,9.0,0.0
89,1.765899896621704,1560,10.0,0.0
90,1.7726349830627441,1570,10.5,0.5
91,1.7917323112487793,1600,11.5,2.5
92,1.7982902526855469,1610,9.333333333333334,0.4714045207910317
93,1.8486428260803223,1620,9.0,0.0
94,1.8738021850585938,1660,11.0,2.160246899469287
95,1.880411148071289,1670,10.0,0.0
96,1.8930392265319824,1690,9.0,0.0
97,1.8995769023895264,1700,8.5,0.5
98,1.912290334701538,1720,11.5,0.5
99,1.9249446392059326,1740,13.0,0.0
100,1.9314665794372559,1750,9.0,0.0
101,1.9380638599395752,1760,10.0,0.0
102,1.9512295722961426,1780,11.0,0.0
103,1.9579942226409912,1790,10.0,0.0
104,2.0726101398468018,1870,17.0,0.0
105,2.079512596130371,1880,18.0,0.0
106,2.0930333137512207,1900,14.5,3.5
107,2.099865674972534,1910,15.5,0.5
108,2.1066174507141113,1920,20.0,0.0
109,2.132472276687622,1960,13.0,5.0
110,2.1454427242279053,1980,11.0,0.0
