index,sec_elapsed,n,mean,std
0,0.13008332252502441,90,9.0,0.0
1,0.1373906135559082,100,10.0,0.0
2,0.14420032501220703,110,11.0,0.0
3,0.15116143226623535,120,12.0,0.0
4,0.1920154094696045,180,9.0,0.0
5,0.19887852668762207,190,10.0,0.0
6,0.2059192657470703,200,9.0,0.0
7,0.21289992332458496,210,11.0,0.0
8,0.22699856758117676,230,11.333333333333334,0.4714045207910317
9,0.24810314178466797,260,8.0,0.0
10,0.26236915588378906,280,9.333333333333334,0.4714045207910317
11,0.2696666717529297,290,10.0,0.0
12,0.27712178230285645,300,9.5,0.5
13,0.2917177677154541,320,9.0,0.0
14,0.29894542694091797,330,10.0,0.0
15,0.3131370544433594,350,9.0,0.0
16,0.32729411125183105,370,9.0,0.0
17,0.3345603942871094,380,10.0,0.0
18,0.3418769836425781,390,11.0,0.0
19,0.3491177558898926,400,10.333333333333334,0.4714045207910317
20,0.3774902820587158,440,11.0,1.224744871391589
21,0.3990476131439209,470,10.0,0.0
22,0.406327486038208,480,9.0,0.0
23,0.4136698246002197,490,9.666666666666666,0.9428090415820634
24,0.4418659210205078,530,9.0,0.0
25,0.45555806159973145,550,15.0,0.0
26,0.4820535182952881,590,12.0,0.0
27,0.5025675296783447,620,13.0,0.0
28,0.516261100769043,640,11.0,0.0
29,0.5431416034698486,680,20.0,0.0
30,0.5502936840057373,690,20.0,0.0
31,0.58571457862854,730,24.0,0.0
32,0.5997025966644287,750,20.0,0.0
33,0.6405951976776123,820,29.0,0.0
34,0.6466763019561768,830,24.5,5.5
35,0.664555549621582,860,20.5,3.5
36,0.6761419773101807,880,20.0,0.0
37,0.6823205947875977,890,26.0,10.0
38,0.693753719329834,910,16.0,0.0
39,0.7001616954803467,920,33.0,0.0
40,0.7121744155883789,940,11.5,0.5
41,0.7239458560943604,960,13.0,0.0
42,0.7357141971588135,980,12.0,0.0
43,0.753671407699585,1010,15.0,0.0
44,0.7656080722808838,1030,14.0,0.0
45,0.7777626514434814,1050,17.0,0.0
46,0.7839622497558594,1060,15.0,0.0
47,0.7901077270507812,1070,18.0,0.0
48,0.8023018836975098,1090,15.0,0.0
49,0.8144333362579346,1110,17.0,2.0
50,0.8206117153167725,1120,16.0,2.0
51,0.8441777229309082,1160,13.0,0.0
52,0.8837015628814697,1230,16.666666666666668,4.109609335312651
53,0.8895683288574219,1240,16.5,1.5
54,0.8952884674072266,1250,14.0,0.0
55,0.9015414714813232,1260,17.5,3.5
56,0.913402795791626,1280,16.0,0.0
57,0.9192686080932617,1290,13.0,0.0
58,0.9479315280914307,1340,9.0,0.0
59,0.959867000579834,1360,10.0,0.0
60,0.9718244075775146,1380,12.0,0.0
61,0.9775869846343994,1390,11.0,0.0
62,0.9890472888946533,1410,12.0,0.0
63,0.9951202869415283,1420,19.0,0.0
64,1.0012340545654297,1430,20.0,0.0
65,1.0074858665466309,1440,20.0,0.0
66,1.0138051509857178,1450,11.0,0.0
67,1.0252678394317627,1470,17.5,6.5
68,1.031135082244873,1480,24.0,0.0
69,1.0489437580108643,1510,9.0,0.816496580927726
70,1.0716745853424072,1550,10.0,0.0
71,1.0828897953033447,1570,14.0,3.7416573867739413
72,1.12205171585083,1640,9.0,0.0
73,1.1278185844421387,1650,26.0,0.0
74,1.1337051391601562,1660,18.5,0.5
75,1.1560556888580322,1700,13.0,0.0
76,1.1730310916900635,1730,15.5,6.5
77,1.1786844730377197,1740,17.0,0.0
78,1.1846027374267578,1750,9.5,0.5
79,1.1903090476989746,1760,17.5,7.5
80,1.1961097717285156,1770,20.0,0.0
81,1.2019367218017578,1780,27.0,0.0
82,1.2467663288116455,1860,10.0,0.0
83,1.2641453742980957,1890,13.0,0.0
84,1.2813854217529297,1920,19.0,0.0
85,1.293088436126709,1940,16.0,0.0
86,1.299006700515747,1950,9.0,0.0
87,1.3107883930206299,1970,17.5,9.5
88,1.3168680667877197,1980,23.5,0.5
