index,sec,mean,std
3121,1.995042026,9.791666667,0.464827956
3141,2.006932765,11,0.655207173
3158,2.016910285,10.97916667,0.375
3181,2.031006753,10,0.73570226
3193,2.037939519,11.375,1
3205,2.045525849,10.0625,0.466506351
3221,2.055366427,13.54166667,0.1875
3234,2.062809825,9.833333333,0.155902391
3254,2.074807256,12.14583333,0.176776695
3278,2.089512199,11.66666667,1.358862432
3306,2.106888175,10.625,0.1875
3328,2.119807065,12.53125,0.803404051
3339,2.126933366,11.5,0.30535113
3358,2.138777763,15.90625,0.719454736
3374,2.148664594,13.20833333,0.869628542
3406,2.168310523,9.9875,0.744948974
3428,2.181252897,10.66666667,0.390583661
3445,2.191774189,11.8125,0.1875
3470,2.207460463,10.875,0.125
3491,2.220364392,11.25,0.5625
3518,2.236553341,16.5,0.1875
3533,2.246511161,17.29166667,0
3551,2.259784549,13.39583333,0.915667456
3568,2.270827681,16.6875,1.125
3601,2.291798919,13.6875,0.25
3619,2.302576989,22.16666667,1.0625
3636,2.313138753,13,1.757486077
3659,2.327153206,18.75,0
3684,2.342966825,19.42708333,0.054126588
3706,2.357125521,13,0.808925565
3723,2.367194504,13.8125,0.405902391
3741,2.378704578,14.1875,1.775142411
3763,2.392436057,13.33333333,1.125
3785,2.405908644,13.20833333,1.917787997
3809,2.420520902,10.6875,0.533904521
3826,2.431480646,11.3125,0.817293552
3841,2.440887034,14.75,0.5
3868,2.456935018,15.0625,0.164562073
3883,2.466194898,18.83333333,0.11785113
3911,2.484061301,14.9375,0.1875
3930,2.496211439,13.23958333,1.375
3949,2.507494718,15.9375,3.31531071
3966,2.518092692,16.0625,0.3125
4024,2.551972985,12.8125,0.1875
4055,2.570354342,21.20833333,0.1875
4070,2.579544306,20,0.147313913
4086,2.589482069,19.25,0.176776695
4106,2.60146299,22.5,0
4130,2.616114765,10.875,0.875
4155,2.630914956,14.75,4.125
4201,2.657505482,17.6875,0.155902391
4224,2.670798928,23.125,0.468402391
4245,2.683427304,25.125,0.772815248
4263,2.693857819,24.6875,0.0625
4293,2.71145615,28.0625,0.1875
4335,2.735976815,23.4375,0.25
4351,2.74556461,15.5625,1.4375
4384,2.764334023,22.4375,0.8125
4398,2.77239266,22.6875,1.0625
4425,2.788317919,18.5,1.0625
4436,2.795116305,21.39583333,0.183925565
4449,2.802586228,24.875,0.1875
4469,2.815457255,17.34375,0.625
4489,2.827646226,17.85416667,0.247377493
4505,2.837352782,13.625,0.280902391
4595,2.888859272,21.0625,0.0625
4613,2.920469318,17.95238095,0
4619,2.902534008,20.47916667,0.121425565
4627,2.92905208,13.28571429,0.183985872
4663,2.927722842,22.83333333,0.125
4680,2.938065082,23.04166667,0.433925565
4689,2.964485782,21.80952381,2.385884767
4700,2.949886411,23.3125,0.496425565
4713,2.978542362,21.33333333,0.142857143
4730,2.967435986,24.20833333,0.694722167
4756,2.982840359,28.54166667,0
4815,3.017115951,26.8125,0.244290739
4824,3.044655936,32.4047619,0.281629217
4846,3.057305677,26.5952381,2.809020736
4863,3.045093417,19.875,0.375
4867,3.069942134,29.92857143,0.357142857
4894,3.085847242,27.85714286,0
4913,3.074267685,26.22916667,0.468402391
4920,3.10101676,23.5,0
4936,3.110372748,28.76190476,0.071428571
4954,3.1214524,29.28571429,0.321031304
4963,3.181694537,40.45833333,0.857326538
4967,3.129139015,24.78571429,0.071428571
4987,3.142476865,30.78571429,0
5003,3.205546975,36.125,2.42320226
5010,3.155884266,25.92857143,9
5047,3.177753585,17.07142857,0.285714286
5101,3.211382764,15.64285714,1
5124,3.224928345,16.28571429,0
5163,3.247784581,19.64285714,0.428571429
5269,3.311072281,34.28571429,0.688641971
5321,3.342106955,32.28571429,0.857142857
5356,3.362515994,38.5,0.5
5371,3.371961696,33.85714286,3.285714286
5390,3.38302551,34.27380952,0.776144672
5467,3.428706442,43.5,0.684917979
5511,3.455437933,31.64285714,1.357142857
5536,3.469956909,35.78571429,0
5558,3.512716492,33.5,0.5
5560,3.588321209,40.07142857,0.559173366
5582,3.526596387,26,2.559816491
5610,3.543374419,27.77777778,0.15713484
5637,3.635463374,33.60714286,1.594396675
5676,3.748992409,40.21428571,0.142857143
5683,3.586935202,35.16666667,0
5735,3.617782156,33.83333333,0.166666667
5737,3.785657883,32.07142857,0.214285714
5762,3.633528988,36.75,0.166666667
5775,3.641576846,37.33333333,0.083333333
5779,3.810092688,34.42857143,0
5804,3.82543305,36.85714286,0
5807,3.660704652,25.16666667,0
5830,3.674435616,33.80555556,2
5847,3.850561891,37.92857143,0.357142857
5877,3.7014575,28.33333333,1.993896619
5924,3.896049431,39.32142857,0
5961,3.918528863,40.69047619,1.588674025
5972,3.756787825,28.13333333,0
6018,3.78407445,26.8,0.339934634
6040,3.800498923,48.08333333,0.333333333
6042,3.79842515,24.6,0
6054,3.973827566,42.64285714,0.865396762
6075,3.821594636,42,0.083333333
6078,3.819581604,26.2,0.4
6099,3.999823264,39.92857143,1
6138,3.85991323,54.83333333,0.333333333
6140,4.024299894,51.85714286,0
6146,3.861529922,34,0
6188,3.892623345,38.44444444,0.333333333
6204,3.896083355,30.53333333,3.942809042
6230,3.936325967,38.25,0.625
6232,3.912822199,35.4,0
6243,3.92678984,43,4.011411122
6270,3.960053325,31.25,0
6272,3.944238385,42.83333333,0.25
6293,3.973395824,37.375,0.125
6323,3.991229832,30.075,0
6360,3.989713287,38.6,0
6390,4.021982749,54.66666667,0
6393,4.032918692,31.75,3.525
6416,4.022343731,39.4,0
6420,4.049310803,26,0
6428,4.178958972,58.08333333,1.833333333
6448,4.04145565,39.1,0.1
6465,4.301740249,62.83333333,0.25
6492,4.067496109,55.4,0
6498,4.32331876,40.5,0.831479419
6508,4.100276411,32.5,0
6516,4.08343215,48.2,0.447213595
6538,4.349807739,43.72222222,1.313351352
6546,4.101568365,59.3,0
6675,4.20257026,54.5,0
6702,4.194974756,56.9,0.1
6710,4.223566771,54.25,0
6828,4.295607924,52.75,0
6870,4.321809709,58.5,0
7048,4.427695453,80.25,0
7113,4.466353118,66.25,0
7180,4.506845057,76.5,0
7190,4.527717829,51.66666667,0
7230,4.55197533,65,0
7278,4.758104026,87.16666667,0
7287,4.586220503,63.33333333,0
7328,4.788442969,76.75,1.247219129
7340,4.618662278,81,0
7387,4.646387657,60.33333333,0
7415,5.032037437,83.625,0
7557,4.751052777,100,0
7587,4.769360463,69.66666667,0
7610,5.280433893,95,1.125
7617,4.788122098,89.33333333,0
7655,5.447288513,96,0
7683,4.830472151,66.66666667,0
7743,5.499697506,96.25,0
7777,4.889139573,95.66666667,0
7937,4.988794327,94.5,0
8000,5.027460734,72.83333333,0.833333333
8057,5.062542995,70.33333333,4.166666667
8213,5.160196861,97,0
8597,5.396596432,94.16666667,0
8767,5.501658678,117.6666667,0.833333333
8783,5.512070974,123.6666667,0
9125,5.768996596,116.5,0
9235,5.838425756,98.5,0
