index,sec_elapsed,n,mean,std
0,0.11937546730041504,90,9.0,0.0
1,0.1254870891571045,100,10.0,0.0
2,0.13140177726745605,110,11.0,0.0
3,0.1373729705810547,120,12.0,0.0
4,0.1432340145111084,130,13.0,0.0
5,0.17171907424926758,180,9.0,0.0
6,0.1775050163269043,190,9.0,0.0
7,0.18327593803405762,200,11.0,0.0
8,0.18928098678588867,210,9.666666666666666,0.4714045207910317
9,0.19534087181091309,220,10.5,0.5
10,0.20753073692321777,240,14.0,0.0
11,0.22119832038879395,260,13.0,0.0
12,0.23305630683898926,280,10.0,0.0
13,0.23911762237548828,290,10.0,0.0
14,0.24525976181030273,300,8.5,0.5
15,0.2515242099761963,310,10.5,0.5
16,0.2576587200164795,320,10.0,0.0
17,0.26377248764038086,330,12.0,0.0
18,0.2700531482696533,340,10.0,0.0
19,0.2877836227416992,370,10.0,1.0
20,0.2936835289001465,380,9.0,0.0
21,0.29968881607055664,390,9.0,0.0
22,0.31139588356018066,410,10.0,0.0
23,0.3174471855163574,420,11.0,0.816496580927726
24,0.3235585689544678,430,9.5,0.5
25,0.34067535400390625,460,9.0,0.0
26,0.34657764434814453,470,9.0,0.0
27,0.3524937629699707,480,9.0,0.0
28,0.3585398197174072,490,8.0,0.0
29,0.37221193313598633,510,9.0,0.0
30,0.3785276412963867,520,10.0,0.0
31,0.3845486640930176,530,10.0,0.0
32,0.3964419364929199,550,10.5,1.5
33,0.42122840881347656,590,11.0,0.0
34,0.44358181953430176,610,14.0,0.0
35,0.4507288932800293,620,16.0,0.0
36,0.45658159255981445,630,12.5,1.5
37,0.46252870559692383,640,11.0,0.0
38,0.4683561325073242,650,14.0,0.0
39,0.47416210174560547,660,15.0,0.0
40,0.480114221572876,670,12.0,0.0
41,0.4861183166503906,680,13.0,0.0
42,0.49765992164611816,700,11.0,0.0
43,0.5090639591217041,720,9.0,0.0
44,0.5149843692779541,730,10.5,0.5
45,0.5209147930145264,740,13.0,0.0
46,0.5326852798461914,760,10.5,1.118033988749895
47,0.5440471172332764,780,10.0,0.0
48,0.5556910037994385,800,10.0,0.0
49,0.5673220157623291,820,9.5,0.5
50,0.5731692314147949,830,9.5,0.5
51,0.5899753570556641,860,10.0,0.0
52,0.5960586071014404,870,10.0,1.0
53,0.6020364761352539,880,12.0,0.0
54,0.6190006732940674,910,11.0,0.0
55,0.6247751712799072,920,9.5,0.5
56,0.6306777000427246,930,11.0,0.0
57,0.6366477012634277,940,11.0,0.0
58,0.6426815986633301,950,9.0,0.0
59,0.6487805843353271,960,10.0,0.0
60,0.6546735763549805,970,10.0,0.0
61,0.6722562313079834,1000,12.0,0.0
62,0.68426513671875,1020,10.0,0.7071067811865476
63,0.7087440490722656,1060,10.5,1.5
64,0.7148075103759766,1070,11.0,0.816496580927726
65,0.7269344329833984,1090,9.0,0.0
66,0.7441437244415283,1120,10.0,0.0
67,0.7498977184295654,1130,11.0,0.0
68,0.7670423984527588,1160,14.0,0.0
69,0.7728471755981445,1170,10.5,0.5
70,0.7788248062133789,1180,11.0,0.0
71,0.8086197376251221,1230,17.0,0.0
72,0.8146355152130127,1240,11.0,0.0
73,0.8262827396392822,1260,16.5,2.5
74,0.832207202911377,1270,18.0,0.0
75,0.8607883453369141,1320,20.0,0.0
76,0.866729736328125,1330,13.0,3.0
77,0.8725793361663818,1340,13.5,3.5
78,0.8787219524383545,1350,10.75,3.6314597615834874
79,0.92435622215271,1430,10.0,0.0
80,0.9304671287536621,1440,11.0,0.0
81,0.9364626407623291,1450,12.0,1.0
82,0.942420482635498,1460,21.0,9.0
83,0.9767615795135498,1520,9.0,0.0
84,0.9828176498413086,1530,9.0,0.0
85,0.9888515472412109,1540,9.0,0.0
86,1.0063550472259521,1570,12.0,0.0
87,1.0122900009155273,1580,23.0,0.0
88,1.0237927436828613,1600,8.0,0.0
89,1.029703140258789,1610,26.0,0.0
90,1.0355820655822754,1620,18.0,9.0
91,1.0414633750915527,1630,9.0,0.0
92,1.0587060451507568,1660,20.0,11.0
93,1.0646233558654785,1670,21.0,0.0
94,1.0762882232666016,1690,11.0,0.0
95,1.082108736038208,1700,24.0,0.0
96,1.093635082244873,1720,10.0,0.0
97,1.1167168617248535,1760,9.5,0.5
98,1.122596025466919,1770,11.0,0.0
99,1.1285936832427979,1780,15.0,0.0
100,1.1343767642974854,1790,10.0,0.0
101,1.1403207778930664,1800,10.0,0.0
102,1.151712417602539,1820,22.0,0.0
103,1.1747348308563232,1860,11.333333333333334,1.8856180831641267
104,1.1808133125305176,1870,9.5,0.5
105,1.1867573261260986,1880,9.0,0.0
106,1.2039155960083008,1910,9.0,0.0
107,1.2158229351043701,1930,13.0,0.0
108,1.232943058013916,1960,9.0,0.0
109,1.2387597560882568,1970,22.5,13.5
110,1.244762659072876,1980,11.0,0.0
111,1.2676289081573486,2020,12.5,3.5
112,1.2849524021148682,2050,19.0,0.0
113,1.2908961772918701,2060,9.5,0.5
114,1.2967817783355713,2070,9.0,0.0
115,1.3026795387268066,2080,11.0,0.0
116,1.3257651329040527,2120,21.0,0.0
117,1.3429524898529053,2150,18.2,17.405746177627663
118,1.3603596687316895,2180,10.5,0.5
119,1.3663415908813477,2190,17.0,0.0
120,1.3835113048553467,2220,10.0,0.0
121,1.3895456790924072,2230,14.5,6.5
122,1.3952646255493164,2240,9.0,0.0
123,1.401209831237793,2250,10.0,0.0
124,1.4072420597076416,2260,10.0,1.4142135623730951
125,1.4131319522857666,2270,9.0,0.0
126,1.4192004203796387,2280,9.0,0.0
