index,sec_elapsed,n,mean,std
0,0.11165642738342285,80,8.0,0.0
1,0.11791658401489258,90,9.0,0.0
2,0.12399077415466309,100,10.0,0.0
3,0.13003015518188477,110,11.0,0.0
4,0.1708974838256836,180,9.0,0.6324555320336759
5,0.17692995071411133,190,10.0,0.0
6,0.1829228401184082,200,10.5,0.5
7,0.18896126747131348,210,10.0,0.0
8,0.19501328468322754,220,11.0,0.0
9,0.22408533096313477,270,9.0,0.0
10,0.23016071319580078,280,9.75,0.4330127018922193
11,0.24194812774658203,300,10.0,0.0
12,0.2479562759399414,310,10.0,0.0
13,0.2539536952972412,320,10.0,0.0
14,0.2717435359954834,350,8.0,0.0
15,0.28364038467407227,370,9.5,0.5
16,0.28967881202697754,380,10.0,0.0
17,0.2957124710083008,390,9.6,1.2
18,0.3074634075164795,410,9.0,0.0
19,0.33101820945739746,450,10.0,0.0
20,0.33722877502441406,460,8.0,0.0
21,0.3434596061706543,470,9.0,1.0
22,0.3495306968688965,480,9.666666666666666,0.9428090415820634
23,0.35556840896606445,490,10.0,0.0
24,0.3615753650665283,500,9.0,0.0
25,0.3737502098083496,520,13.0,0.0
26,0.3800010681152344,530,8.0,0.0
27,0.39748215675354004,560,9.0,0.0
28,0.4035351276397705,570,9.0,0.0
29,0.4095945358276367,580,9.5,0.5
30,0.41562700271606445,590,12.0,0.0
31,0.42174434661865234,600,11.0,1.0
32,0.42778515815734863,610,15.0,0.0
33,0.433821439743042,620,9.5,0.5
34,0.4455595016479492,640,8.0,0.0
35,0.4572722911834717,660,8.0,0.0
36,0.4633948802947998,670,9.0,1.0
37,0.46968650817871094,680,9.0,1.0
38,0.48145508766174316,700,10.0,0.0
39,0.4933168888092041,720,10.0,0.0
40,0.49933457374572754,730,10.5,1.5
41,0.5053656101226807,740,12.0,0.0
42,0.5172481536865234,760,9.5,0.5
43,0.5233359336853027,770,9.5,0.5
44,0.5350680351257324,790,11.0,0.0
45,0.5468339920043945,810,11.0,0.0
46,0.5529153347015381,820,10.0,0.0
47,0.5589814186096191,830,9.5,0.5
48,0.5650198459625244,840,11.0,0.0
49,0.5713140964508057,850,9.0,0.0
50,0.5831038951873779,870,11.0,0.0
51,0.5949397087097168,890,12.0,0.0
52,0.6357762813568115,960,10.0,1.0
